user_country,friend_country,user_region,friend_region,scaled_sci
CH,ES,CH06,ES42,1328
LU,DE,LU00,DED4,2826
DE,LU,DED4,LU00,2826
TR,DE,TR10,DED4,750
DE,TR,DED4,TR10,750
TR,BG,TR31,BG31,446
BG,TR,BG31,TR31,446
ES,DE,ES62,DE12,1130
DE,ES,DE12,ES62,1130
NL,DK,NL41,DK04,1893
DK,NL,DK04,NL41,1893
RO,FR,RO11,FRD1,1259
FR,RO,FRD1,RO11,1259
TR,SI,TR32,SI04,251
SI,TR,SI04,TR32,251
NO,IT,NO06,ITH3,878
IT,NO,ITH3,NO06,878
TR,IT,TR61,ITH3,227
IT,TR,ITH3,TR61,227
HR,GR,HR06,EL52,529
GR,HR,EL52,HR06,529
SK,IT,SK02,ITI4,530
IT,SK,ITI4,SK02,530
TR,IT,TR63,ITI4,93
IT,TR,ITI4,TR63,93
PT,DE,PT19,DEA4,2995
DE,PT,DEA4,PT19,2995
TR,PL,TR81,PL71,70
PL,TR,PL71,TR81,70
SE,DE,SE12,DE73,2975
DE,SE,DE73,SE12,2975
TR,DE,TRB2,DE73,1386
DE,TR,DE73,TRB2,1386
RS,NO,RS21,NO02,2249
NO,RS,NO02,RS21,2249
SK,NO,SK04,NO02,945
NO,SK,NO02,SK04,945
DE,BE,DE60,BE34,1234
BE,DE,BE34,DE60,1234
SK,FR,SK01,FRE2,359
FR,SK,FRE2,SK01,359
SK,FR,SK03,FRE2,188
FR,SK,FRE2,SK03,188
TR,FR,TR51,FRE2,428
FR,TR,FRE2,TR51,428
NO,ES,NO09,ES22,374
ES,NO,ES22,NO09,374
FR,ES,FRI1,ES12,1798
ES,FR,ES12,FRI1,1798
RO,IT,RO21,ITC2,29033
IT,RO,ITC2,RO21,29033
ME,CH,ME00,CH05,13528
CH,ME,CH05,ME00,13528
DE,CH,DEB3,CH05,14830
CH,DE,CH05,DEB3,14830
RS,PL,RS11,PL84,336
PL,RS,PL84,RS11,336
NO,FR,NO0B,FRF3,1676
FR,NO,FRF3,NO0B,1676
NO,IT,NO06,ITC4,739
IT,NO,ITC4,NO06,739
FI,FI,FI20,FI20,162099790
IT,DE,ITH5,DED5,1861
DE,IT,DED5,ITH5,1861
NL,DE,NL22,DEB3,2314
DE,NL,DEB3,NL22,2314
FR,DE,FRF1,DEB3,7119
DE,FR,DEB3,FRF1,7119
SE,DE,SE22,DEB2,2040
DE,SE,DEB2,SE22,2040
PL,FR,PL61,FR10,344
FR,PL,FR10,PL61,344
FI,DE,FI20,DE94,1303
DE,FI,DE94,FI20,1303
