user_country,friend_country,user_region,friend_region,scaled_sci
SB,VC,SB,VC,2104
LR,GT,LR,GT,456
GT,LR,GT,LR,456
SZ,QA,SZ,QA,4129
QA,SZ,QA,SZ,4129
KE,BA,KE,BA,335
BA,KE,BA,KE,335
ZW,TD,ZW,TD,2026
TD,ZW,TD,ZW,2026
XK,LR,XK,LR,574
LR,XK,LR,XK,574
JO,BE,JO,BE,3998
BE,JO,BE,JO,3998
MG,BE,MG,BE,4929
BE,MG,BE,MG,4929
TW,JO,TW,JO,335
JO,TW,JO,TW,335
SV,ML,SV,ML,521
ML,SV,ML,SV,521
SE,ML,SE,ML,675
ML,SE,ML,SE,675
NE,ET,NE,ET,8750
ET,NE,ET,NE,8750
MU,KG,MU,KG,6858
KG,MU,KG,MU,6858
MW,KM,MW,KM,2656
KM,MW,KM,MW,2656
LY,GE,LY,GE,338
GE,LY,GE,LY,338
TW,IQ,TW,IQ,137
IQ,TW,IQ,TW,137
ML,AL,ML,AL,520
AL,ML,AL,ML,520
UG,NP,UG,NP,1144
NP,UG,NP,UG,1144
LS,FI,LS,FI,116
FI,LS,FI,LS,116
SE,LT,SE,LT,31147
LT,SE,LT,SE,31147
BR,AM,BR,AM,443
AM,BR,AM,BR,443
MX,BT,MX,BT,77
BT,MX,BT,MX,77
MW,BN,MW,BN,351
BN,MW,BN,MW,351
PG,NA,PG,NA,1255
NA,PG,NA,PG,1255
MN,HT,MN,HT,46
HT,MN,HT,MN,46
SZ,CY,SZ,CY,10486
CY,SZ,CY,SZ,10486
UZ,TL,UZ,TL,304
TL,UZ,TL,UZ,304
MT,HN,MT,HN,1245
HN,MT,HN,MT,1245
KH,AZ,KH,AZ,365
AZ,KH,AZ,KH,365
EE,AZ,EE,AZ,20090
AZ,EE,AZ,EE,20090
BS,AT,BS,AT,2474
AT,BS,AT,BS,2474
LA,AT,LA,AT,381
AT,LA,AT,LA,381
SG,BO,SG,BO,286
BO,SG,BO,SG,286
ZA,DO,ZA,DO,1043
DO,ZA,DO,ZA,1043
ZM,PA,ZM,PA,549
PA,ZM,PA,ZM,549
IE,BH,IE,BH,29013
BH,IE,BH,IE,29013
MZ,BG,MZ,BG,360
BG,MZ,BG,MZ,360
ZW,GN,ZW,GN,4499
GN,ZW,GN,ZW,4499
SE,GN,SE,GN,1568
GN,SE,GN,SE,1568
VN,GN,VN,GN,318
GN,VN,GN,VN,318
KR,BJ,KR,BJ,448
BJ,KR,BJ,KR,448
SZ,GH,SZ,GH,14430
GH,SZ,GH,SZ,14430
TD,ER,TD,ER,11129
ER,TD,ER,TD,11129
LT,KR,LT,KR,1215
KR,LT,KR,LT,1215
SL,RO,SL,RO,560
RO,SL,RO,SL,560
TG,GA,TG,GA,528558
GA,TG,GA,TG,528558
MY,GA,MY,GA,846
GA,MY,GA,MY,846
NL,AF,NL,AF,9839
AF,NL,AF,NL,9839
TG,NL,TG,NL,2012
NL,TG,NL,TG,2012
SD,NL,SD,NL,2730
NL,SD,NL,SD,2730
TH,NL,TH,NL,1944
NL,TH,NL,TH,1944
GN,EE,GN,EE,321
EE,GN,EE,GN,321
IL,CO,IL,CO,1994
CO,IL,CO,IL,1994
PE,PE,PE,PE,2027687
TL,FJ,TL,FJ,7228
FJ,TL,FJ,TL,7228
NI,IT,NI,IT,802
IT,NI,IT,NI,802
NO,FR,NO,FR,5478
FR,NO,FR,NO,5478
UZ,PK,UZ,PK,4928
PK,UZ,PK,UZ,4928
TZ,MT,TZ,MT,1485
MT,TZ,MT,TZ,1485
LY,BD,LY,BD,5857
BD,LY,BD,LY,5857
CL,BD,CL,BD,106
BD,CL,BD,CL,106
SN,SD,SN,SD,1480
SD,SN,SD,SN,1480
SK,ES,SK,ES,4656
ES,SK,ES,SK,4656
SA,ES,SA,ES,2610
ES,SA,ES,SA,2610
SI,AO,SI,AO,230
AO,SI,AO,SI,230
LA,IN,LA,IN,291
IN,LA,IN,LA,291
PH,GD,PH,GD,3303
GD,PH,GD,PH,3303
US,FM,US,FM,115392
FM,US,FM,US,115392
JO,BZ,JO,BZ,574
BZ,JO,BZ,JO,574
MA,BA,MA,BA,825
BA,MA,BA,MA,825
MW,MK,MW,MK,267
MK,MW,MK,MW,267
SZ,BB,SZ,BB,1599
BB,SZ,BB,SZ,1599
VC,BB,VC,BB,13150071
BB,VC,BB,VC,13150071
ZM,BB,ZM,BB,3220
BB,ZM,BB,ZM,3220
ZM,SL,ZM,SL,186112
SL,ZM,SL,ZM,186112
PG,GY,PG,GY,1440
GY,PG,GY,PG,1440
SN,ET,SN,ET,3526
ET,SN,ET,SN,3526
ID,ET,ID,ET,5645
ET,ID,ET,ID,5645
MN,KG,MN,KG,16558
KG,MN,KG,MN,16558
MU,LC,MU,LC,22578
LC,MU,LC,MU,22578
UZ,UG,UZ,UG,7834
UG,UZ,UG,UZ,7834
SZ,JM,SZ,JM,4509
JM,SZ,JM,SZ,4509
RO,JM,RO,JM,877
JM,RO,JM,RO,877
HN,GW,HN,GW,523
GW,HN,GW,HN,523
SV,GE,SV,GE,110
GE,SV,GE,SV,110
HU,GE,HU,GE,2303
GE,HU,GE,HU,2303
MX,LV,MX,LV,315
LV,MX,LV,MX,315
BB,AL,BB,AL,666
AL,BB,AL,BB,666
ZW,CL,ZW,CL,119
CL,ZW,CL,ZW,119
KZ,CL,KZ,CL,627
CL,KZ,CL,KZ,627
PA,NP,PA,NP,116
NP,PA,NP,PA,116
RU,NP,RU,NP,2608
NP,RU,NP,RU,2608
VC,LT,VC,LT,643
LT,VC,LT,VC,643
MA,LT,MA,LT,1524
LT,MA,LT,MA,1524
KM,IS,KM,IS,317
IS,KM,IS,KM,317
PA,BN,PA,BN,542
BN,PA,BN,PA,542
LV,KW,LV,KW,1471
KW,LV,KW,LV,1471
RU,LA,RU,LA,12266
LA,RU,LA,RU,12266
SV,AU,SV,AU,1147
AU,SV,AU,SV,1147
TG,BW,TG,BW,17136
BW,TG,BW,TG,17136
MK,BW,MK,BW,361
BW,MK,BW,MK,361
VU,GM,VU,GM,840
GM,VU,GM,VU,840
IL,HT,IL,HT,379
HT,IL,HT,IL,379
NI,HT,NI,HT,3352
HT,NI,HT,NI,3352
RO,IL,RO,IL,8303
IL,RO,IL,RO,8303
UA,TL,UA,TL,265
TL,UA,TL,UA,265
MN,GB,MN,GB,1215
GB,MN,GB,MN,1215
TO,MR,TO,MR,392
MR,TO,MR,TO,392
NA,AZ,NA,AZ,977
AZ,NA,AZ,NA,977
JP,CA,JP,CA,5914
CA,JP,CA,JP,5914
GM,BF,GM,BF,19038
BF,GM,BF,GM,19038
SR,PA,SR,PA,5861
PA,SR,PA,SR,5861
GW,GN,GW,GN,988574
GN,GW,GN,GW,988574
PH,CM,PH,CM,774
CM,PH,CM,PH,774
TD,BY,TD,BY,4072
BY,TD,BY,TD,4072
SZ,GA,SZ,GA,4905
GA,SZ,GA,SZ,4905
GM,AF,GM,AF,3587
AF,GM,AF,GM,3587
GA,AF,GA,AF,647
AF,GA,AF,GA,647
YE,CD,YE,CD,1955
CD,YE,CD,YE,1955
ZM,KH,ZM,KH,545
KH,ZM,KH,ZM,545
UY,CO,UY,CO,8810
CO,UY,CO,UY,8810
MT,AE,MT,AE,96331
AE,MT,AE,MT,96331
VU,LB,VU,LB,232
LB,VU,LB,VU,232
NI,BD,NI,BD,465
BD,NI,BD,NI,465
TW,CH,TW,CH,2461
CH,TW,CH,TW,2461
CM,AO,CM,AO,11539
AO,CM,AO,CM,11539
MM,AO,MM,AO,74
AO,MM,AO,MM,74
RS,IN,RS,IN,535
IN,RS,IN,RS,535
MZ,BS,MZ,BS,2336
BS,MZ,BS,MZ,2336
KE,DJ,KE,DJ,73638
DJ,KE,DJ,KE,73638
LA,GT,LA,GT,95
GT,LA,GT,LA,95
NI,GT,NI,GT,39764
GT,NI,GT,NI,39764
TG,CV,TG,CV,11289
CV,TG,CV,TG,11289
TR,MK,TR,MK,16059
MK,TR,MK,TR,16059
TR,SK,TR,SK,984
SK,TR,SK,TR,984
TJ,KI,TJ,KI,97
KI,TJ,KI,TJ,97
UA,ML,UA,ML,1879
ML,UA,ML,UA,1879
FR,ET,FR,ET,2815
ET,FR,ET,FR,2815
MM,KG,MM,KG,5122
KG,MM,KG,MM,5122
RW,LC,RW,LC,2927
LC,RW,LC,RW,2927
PG,CL,PG,CL,37
CL,PG,CL,PG,37
TR,AD,TR,AD,940
AD,TR,AD,TR,940
MR,LT,MR,LT,123
LT,MR,LT,MR,123
LT,LT,LT,LT,20481104
MN,BT,MN,BT,9855
BT,MN,BT,MN,9855
NP,BT,NP,BT,27710
BT,NP,BT,NP,27710
UY,MW,UY,MW,105
MW,UY,MW,UY,105
VU,LA,VU,LA,223
LA,VU,LA,VU,223
FM,AU,FM,AU,6344
AU,FM,AU,FM,6344
PH,AU,PH,AU,14422
AU,PH,AU,PH,14422
TJ,NA,TJ,NA,2691
NA,TJ,NA,TJ,2691
KI,BW,KI,BW,898
BW,KI,BW,KI,898
TG,HT,TG,HT,16927
HT,TG,HT,TG,16927
IQ,CY,IQ,CY,5468
CY,IQ,CY,IQ,5468
RS,GB,RS,GB,4665
GB,RS,GB,RS,4665
SI,JP,SI,JP,2059
JP,SI,JP,SI,2059
PY,MR,PY,MR,667
MR,PY,MR,PY,667
SR,MR,SR,MR,1865
MR,SR,MR,SR,1865
RW,GR,RW,GR,630
GR,RW,GR,RW,630
TD,CA,TD,CA,12531
CA,TD,CA,TD,12531
NA,CA,NA,CA,6664
CA,NA,CA,NA,6664
CV,AT,CV,AT,5505
AT,CV,AT,CV,5505
DZ,BH,DZ,BH,2830
BH,DZ,BH,DZ,2830
LU,GN,LU,GN,45383
GN,LU,GN,LU,45383
KH,GN,KH,GN,368
GN,KH,GN,KH,368
EC,BJ,EC,BJ,4541
BJ,EC,BJ,EC,4541
DZ,BJ,DZ,BJ,7690
BJ,DZ,BJ,DZ,7690
TN,BJ,TN,BJ,4891
BJ,TN,BJ,TN,4891
UZ,UA,UZ,UA,17254
UA,UZ,UA,UZ,17254
IT,BI,IT,BI,1193
BI,IT,BI,IT,1193
NG,BI,NG,BI,13329
BI,NG,BI,NG,13329
SO,CI,SO,CI,2299
CI,SO,CI,SO,2299
NA,BY,NA,BY,1452
BY,NA,BY,NA,1452
KI,BY,KI,BY,170
BY,KI,BY,KI,170
UY,GA,UY,GA,362
GA,UY,GA,UY,362
GD,AF,GD,AF,447
AF,GD,AF,GD,447
BI,AF,BI,AF,1555
AF,BI,AF,BI,1555
RU,AF,RU,AF,35401
AF,RU,AF,RU,35401
JO,CD,JO,CD,739
CD,JO,CD,JO,739
MR,KH,MR,KH,306
KH,MR,KH,MR,306
PG,KH,PG,KH,339
KH,PG,KH,PG,339
TO,NZ,TO,NZ,3778495
NZ,TO,NZ,TO,3778495
MZ,MY,MZ,MY,506
MY,MZ,MY,MZ,506
MX,FJ,MX,FJ,96
FJ,MX,FJ,MX,96
MD,HR,MD,HR,2291
HR,MD,HR,MD,2291
TR,HR,TR,HR,1952
HR,TR,HR,TR,1952
VU,TW,VU,TW,306
TW,VU,TW,VU,306
TH,PK,TH,PK,886
PK,TH,PK,TH,886
VN,ES,VN,ES,361
ES,VN,ES,VN,361
NI,MX,NI,MX,11435
MX,NI,MX,NI,11435
PH,IN,PH,IN,788
IN,PH,IN,PH,788
GN,EC,GN,EC,208
EC,GN,EC,GN,208
JM,BS,JM,BS,1229865
BS,JM,BS,JM,1229865
NL,BZ,NL,BZ,2911
BZ,NL,BZ,NL,2911
FI,BZ,FI,BZ,480
BZ,FI,BZ,FI,480
DJ,DJ,DJ,DJ,255084112
LY,GT,LY,GT,194
GT,LY,GT,LY,194
NL,CF,NL,CF,2019
CF,NL,CF,NL,2019
RO,LR,RO,LR,647
LR,RO,LR,RO,647
BJ,BE,BJ,BE,6448
BE,BJ,BE,BJ,6448
MM,JO,MM,JO,971
